stratum	highly_conserved	conserved	divergent	no_hit
MANE_Select	10858	8229	105	107
lncRNA	3544	70852	43808	70887
other	39208	74443	4185	9388
protein_coding	91644	161817	5162	603
pseudogene	244	3511	3187	8260
retained_intron	1445	27939	4247	619
